ticket_id,user_id,username,package,amount_usd,amount_uzs,words,status,date
312895,7460601286,@vednomharudba,3,10,130000,10000,declined,01/01/2025 13:29
810447,7460601286,@vednomharudba,4,16,205000,20000,accepted,01/01/2025 13:30
978525,7514237434,@cheater_joseph,1,5,65000,2000,accepted,01/01/2025 14:08
359786,7514237434,@cheater_joseph,4,16,205000,20000,declined,01/01/2025 15:49
186624,1927099919,@Try_higher,4,16,205000,20000,declined,01/01/2025 15:50
866287,7514237434,@cheater_joseph,2,7,90000,4000,declined,01/01/2025 16:11
749711,7514237434,@cheater_joseph,3,10,130000,10000,declined,01/01/2025 16:27
751325,1927099919,@Try_higher,4,16,205000,20000,declined,01/01/2025 16:27
872481,1927099919,@Try_higher,3,10,130000,10000,declined,01/01/2025 16:28
512844,1927099919,@Try_higher,2,7,90000,4000,in progress,01/01/2025 16:28
136487,7514237434,@cheater_joseph,4,16,205000,20000,in progress,01/01/2025 16:30
550501,7514237434,@cheater_joseph,4,16,205000,20000,in progress,01/01/2025 16:33
442201,7514237434,@cheater_joseph,1,5,65000,2000,declined,01/01/2025 16:33
198044,7514237434,@cheater_joseph,2,7,90000,4000,declined,01/01/2025 16:34
494252,7514237434,@cheater_joseph,2,7,90000,4000,declined,01/01/2025 16:34
135155,1927099919,@Try_higher,3,10,130000,10000,declined,01/01/2025 18:33
655509,1927099919,@Try_higher,4,16,205000,20000,declined,01/01/2025 18:33
